frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,383.3095169067383,310.8347511291504,0.9581010937690735,444.8381042480469,245.74127197265625,0.859592080116272,329.6019744873047,237.66948223114014,0.7935840487480164,509.5101547241211,248.36322784423828,0.606083333492279,264.18554306030273,217.04132080078125,0.5449397563934326,516.9347763061523,365.05605697631836,0.5069543719291687,175.29773712158203,366.56455993652344,0.26159173250198364,564.0093612670898,613.5661697387695,0.0010000000474974513,66.00351333618164,535.2041816711426,0.0010000000474974513,564.0093612670898,613.5661697387695,9.999999747378752e-06,117.86964416503906,537.7558708190918,0.0005010744207538664,395.34435272216797,669.9230575561523,0.0010000000474974513,178.9333724975586,701.2544059753418,0.0010000000474974513,395.34435272216797,669.9230575561523,9.999999747378752e-06,178.9333724975586,701.2544059753418,9.999999747378752e-06,395.34435272216797,669.9230575561523,9.999999747378752e-06,178.9333724975586,701.2544059753418,9.999999747378752e-06
2,384.4296646118164,311.4056396484375,0.9505000114440918,445.34358978271484,245.58863639831543,0.8714755177497864,336.80694580078125,245.81491470336914,0.7934883236885071,507.59700775146484,251.43402099609375,0.5734544396400452,263.17073822021484,234.67257499694824,0.4639366865158081,512.1176910400391,355.2967929840088,0.44696059823036194,204.3508529663086,353.23010444641113,0.2652041018009186,570.0608825683594,606.9988632202148,0.0010000000474974513,81.54592514038086,522.1626663208008,0.0010000000474974513,570.0608825683594,606.9988632202148,9.999999747378752e-06,94.57789421081543,549.0869522094727,0.0010000000474974513,391.4542007446289,668.3639717102051,0.0010000000474974513,221.69191360473633,680.0430679321289,0.0010000000474974513,391.4542007446289,668.3639717102051,9.999999747378752e-06,221.69191360473633,680.0430679321289,9.999999747378752e-06,391.4542007446289,668.3639717102051,9.999999747378752e-06,221.69191360473633,680.0430679321289,9.999999747378752e-06
3,384.5645523071289,313.2480525970459,0.9468006491661072,444.9614715576172,244.17531967163086,0.8324176669120789,326.5340805053711,237.69880771636963,0.8013209104537964,509.51927185058594,251.1654567718506,0.5941174626350403,256.8196678161621,219.91815090179443,0.5377466082572937,513.4711456298828,360.9664821624756,0.4374393820762634,201.9438934326172,342.0541191101074,0.3527188301086426,562.7100372314453,609.8113632202148,0.0010000000474974513,82.20500946044922,526.4606666564941,0.0010000000474974513,562.7100372314453,609.8113632202148,9.999999747378752e-06,94.37870025634766,543.2892036437988,0.0010000000474974513,393.23280334472656,663.2603645324707,0.0010000000474974513,229.7669219970703,697.8343963623047,0.0010000000474974513,393.23280334472656,663.2603645324707,9.999999747378752e-06,229.7669219970703,697.8343963623047,9.999999747378752e-06,393.23280334472656,663.2603645324707,9.999999747378752e-06,229.7669219970703,697.8343963623047,9.999999747378752e-06
4,383.45020294189453,311.98299407958984,0.9489954710006714,441.70536041259766,243.9283561706543,0.8277279734611511,322.8964614868164,241.13883018493652,0.7848076820373535,508.05442810058594,237.6608419418335,0.6095389723777771,261.2823295593262,226.2317991256714,0.4785325229167938,512.709846496582,357.5730228424072,0.5140175223350525,192.69079208374023,337.2927188873291,0.41662219166755676,552.2735214233398,615.5757522583008,0.0010000000474974513,100.31533241271973,500.62843322753906,0.0010000000474974513,552.2735214233398,615.5757522583008,9.999999747378752e-06,66.26516342163086,551.3253021240234,0.0010000000474974513,389.2582702636719,664.8623657226562,0.0010000000474974513,247.3296356201172,681.5833854675293,0.0010000000474974513,389.2582702636719,664.8623657226562,9.999999747378752e-06,247.3296356201172,681.5833854675293,9.999999747378752e-06,389.2582702636719,664.8623657226562,9.999999747378752e-06,247.3296356201172,681.5833854675293,9.999999747378752e-06
5,370.50106048583984,254.73607063293457,0.9167398810386658,427.48416900634766,195.8686637878418,0.9676495790481567,317.8961944580078,193.87624740600586,0.9118074178695679,495.97843170166016,198.78301620483398,0.7854795455932617,255.85140228271484,202.8457546234131,0.5479402542114258,511.8358612060547,314.3888282775879,0.7355043292045593,189.7220802307129,310.4750061035156,0.6104798913002014,544.1647338867188,584.2731285095215,0.0010000000474974513,80.05412101745605,547.5235176086426,0.0010000000474974513,433.1613540649414,555.6203269958496,0.0005297231255099177,77.24344253540039,543.4398651123047,0.0010000000474974513,445.43651580810547,644.4957160949707,0.0010000000474974513,206.9167137145996,643.1524658203125,0.0010000000474974513,445.43651580810547,644.4957160949707,9.999999747378752e-06,206.9167137145996,643.1524658203125,9.999999747378752e-06,445.43651580810547,644.4957160949707,9.999999747378752e-06,206.9167137145996,643.1524658203125,9.999999747378752e-06
6,340.8320617675781,236.98654174804688,0.9255637526512146,399.3977355957031,180.0584077835083,0.8702823519706726,287.3826217651367,177.77612686157227,0.8778343796730042,470.8140563964844,195.88531494140625,0.843701958656311,239.6634292602539,197.93621063232422,0.48807814717292786,507.5953674316406,374.1511058807373,0.6287903785705566,178.12061309814453,383.2145404815674,0.2551640272140503,544.4170379638672,533.0437660217285,0.0010000000474974513,91.75209045410156,612.6828002929688,0.0010000000474974513,490.21717071533203,351.81973457336426,0.0010000000474974513,138.510160446167,449.74422454833984,0.0010000000474974513,439.4190216064453,762.9878997802734,0.0010000000474974513,236.53484344482422,797.4035453796387,0.0010000000474974513,439.4190216064453,762.9878997802734,9.999999747378752e-06,236.53484344482422,797.4035453796387,9.999999747378752e-06,439.4190216064453,762.9878997802734,9.999999747378752e-06,236.53484344482422,797.4035453796387,9.999999747378752e-06
7,340.7093048095703,247.3257350921631,0.9079570770263672,396.88873291015625,185.3120470046997,0.8213464021682739,282.0780372619629,181.85028076171875,0.8330460786819458,473.3742141723633,197.99294471740723,0.7865468263626099,209.77815628051758,197.17111587524414,0.5114185810089111,531.8034744262695,384.6299171447754,0.42220261693000793,161.98785781860352,390.6385803222656,0.0010000000474974513,539.7509384155273,510.62267303466797,0.0010000000474974513,76.07779026031494,620.0864410400391,0.0010000000474974513,486.91478729248047,321.6313362121582,0.0010000000474974513,141.14890098571777,450.76269149780273,0.0010000000474974513,463.30352783203125,734.1775703430176,0.0010000000474974513,238.76333236694336,838.7499618530273,0.0010000000474974513,463.30352783203125,734.1775703430176,9.999999747378752e-06,238.76333236694336,838.7499618530273,9.999999747378752e-06,463.30352783203125,734.1775703430176,9.999999747378752e-06,238.76333236694336,838.7499618530273,9.999999747378752e-06
8,335.6903839111328,249.88755226135254,0.8761822581291199,391.513671875,189.19252395629883,0.917965829372406,279.2074966430664,185.25228023529053,0.902533769607544,471.78524017333984,197.07375526428223,0.823066771030426,206.3711929321289,206.04788303375244,0.5736931562423706,539.9850463867188,376.74954414367676,0.5233314037322998,125.38165092468262,394.0832805633545,0.2423367202281952,546.1990356445312,599.2552757263184,0.0010000000474974513,79.12391662597656,624.0937614440918,0.0010000000474974513,510.047607421875,380.9638023376465,0.0010000000474974513,139.3924903869629,454.967679977417,0.0010000000474974513,468.79722595214844,765.0885200500488,0.0010000000474974513,246.71880722045898,840.4718399047852,0.0010000000474974513,468.79722595214844,765.0885200500488,9.999999747378752e-06,246.71880722045898,840.4718399047852,9.999999747378752e-06,468.79722595214844,765.0885200500488,9.999999747378752e-06,246.71880722045898,840.4718399047852,9.999999747378752e-06
9,330.0188446044922,256.7716884613037,0.9116532802581787,386.43592834472656,196.94655418395996,0.9603001475334167,272.85228729248047,192.71368503570557,0.9361891746520996,461.6013717651367,200.73949813842773,0.8539875745773315,198.6756134033203,208.82965564727783,0.627133846282959,518.2159423828125,367.72212982177734,0.6249683499336243,161.1074447631836,414.6140670776367,0.303119957447052,518.4722518920898,552.6446914672852,0.0010000000474974513,109.81757164001465,615.3458976745605,0.0010000000474974513,493.8129425048828,361.4803218841553,0.0010000000474974513,143.5586643218994,447.454776763916,0.0010000000474974513,462.6079559326172,741.5316009521484,0.0010000000474974513,254.31724548339844,792.9598617553711,0.0010000000474974513,462.6079559326172,741.5316009521484,9.999999747378752e-06,254.31724548339844,792.9598617553711,9.999999747378752e-06,462.6079559326172,741.5316009521484,9.999999747378752e-06,254.31724548339844,792.9598617553711,9.999999747378752e-06
10,330.50575256347656,257.41496086120605,0.9354608654975891,386.8267822265625,195.48202514648438,1.0062240362167358,280.5628967285156,194.02214527130127,0.9328822493553162,463.0072021484375,191.19751453399658,0.854742705821991,223.12164306640625,195.5846071243286,0.6755926609039307,525.3440475463867,342.17963218688965,0.6362717151641846,180.29186248779297,328.7617778778076,0.6175345182418823,584.6283340454102,592.7768325805664,0.0010000000474974513,77.88442134857178,565.6694412231445,0.0010000000474974513,516.4693450927734,407.8530979156494,0.0010000000474974513,59.40843105316162,548.5933685302734,0.0010000000474974513,512.2328567504883,788.5315132141113,0.0010000000474974513,231.8080711364746,681.815185546875,0.0010000000474974513,512.2328567504883,788.5315132141113,9.999999747378752e-06,231.8080711364746,681.815185546875,9.999999747378752e-06,512.2328567504883,788.5315132141113,9.999999747378752e-06,231.8080711364746,681.815185546875,9.999999747378752e-06
