frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
1,354.3606185913086,34.09689116477966,0.8927754163742065,361.2677764892578,26.003387212753296,0.8688676357269287,351.71314239501953,27.011075735092163,0.7158232927322388,383.6454772949219,27.339197635650635,0.9042697548866272,348.7509536743164,31.83266043663025,0.0010000000474974513,407.5909423828125,76.37732028961182,0.9433533549308777,344.2251968383789,82.09581470489502,0.9422881603240967,412.4991989135742,139.51371955871582,0.9446359276771545,331.11572265625,138.63339519500732,1.0079740285873413,362.9886245727539,162.0027198791504,0.9403168559074402,304.7997856140137,157.78187942504883,0.9041014909744263,381.9822692871094,175.99668502807617,0.9090580940246582,343.1098175048828,170.70105934143066,0.9465914964675903,320.95203399658203,196.45492935180664,0.7969043254852295,263.1998634338379,190.84096145629883,0.8297556638717651,312.4661636352539,313.83567237854004,0.8109484910964966,273.5720634460449,305.8522548675537,0.8372178673744202
2,354.537353515625,33.9914231300354,0.8964377641677856,361.48120880126953,25.955063104629517,0.8737942576408386,351.8012237548828,26.896591186523438,0.7271743416786194,383.69083404541016,27.454482078552246,0.9063574075698853,348.76075744628906,31.782686710357666,0.0010000000474974513,407.5942611694336,76.35008192062378,0.9377994537353516,344.14459228515625,81.91222190856934,0.9343281388282776,412.4234390258789,139.63547134399414,0.9435223340988159,331.1236572265625,138.6928129196167,1.0112332105636597,363.12782287597656,161.81613731384277,0.9416866898536682,304.9942970275879,157.71418476104736,0.9058608412742615,381.71653747558594,176.0561866760254,0.9080994129180908,342.8607177734375,170.52538681030273,0.9420620203018188,320.90091705322266,196.6835994720459,0.7998937964439392,263.42615127563477,192.1046371459961,0.8258011341094971,312.8224563598633,313.9552001953125,0.8094427585601807,273.6375045776367,304.0858154296875,0.8177017569541931
3,354.70062255859375,33.94865894317627,0.899046003818512,361.59427642822266,25.92338728904724,0.8819855451583862,351.79656982421875,26.81744885444641,0.7258607745170593,383.84960174560547,27.45435881614685,0.9189536571502686,349.02427673339844,31.771236419677734,0.0010000000474974513,407.6327896118164,76.29427289962769,0.9410744905471802,344.26231384277344,81.89189147949219,0.9407987594604492,412.25093841552734,139.73956775665283,0.9475369453430176,331.19361877441406,138.4520788192749,1.0086982250213623,363.02974700927734,161.86190700531006,0.9444279670715332,304.6087837219238,157.7064323425293,0.9017332196235657,381.35536193847656,176.5310878753662,0.9100015759468079,342.5754165649414,170.85133457183838,0.9458306431770325,320.43956756591797,196.85511779785156,0.804595410823822,264.90076065063477,191.30125999450684,0.8305609822273254,312.9058837890625,313.8966426849365,0.8179464936256409,273.16295623779297,303.94188690185547,0.8403051495552063
4,354.7026062011719,33.99549865722656,0.8932628035545349,361.5255355834961,25.920602083206177,0.8736141324043274,351.8603515625,26.87358045578003,0.7173070311546326,383.62796783447266,27.39458703994751,0.9084224104881287,349.09297943115234,31.77900719642639,0.0010000000474974513,407.5709533691406,76.17224311828613,0.9384676814079285,344.2823791503906,81.61177635192871,0.9324455857276917,412.20069885253906,139.53346252441406,0.9461487531661987,330.97408294677734,138.27056312561035,1.0139575004577637,362.6879119873047,161.89791011810303,0.9376828074455261,304.9536895751953,157.72685718536377,0.9133961796760559,381.6154098510742,176.58580589294434,0.9075968265533447,342.9216003417969,171.0011692047119,0.9420233368873596,320.6100082397461,197.11370658874512,0.8007556796073914,263.41251373291016,190.42195320129395,0.8287391066551208,312.9085159301758,313.6748332977295,0.8129976391792297,272.51556396484375,305.51853370666504,0.8334987163543701
5,354.7477340698242,33.85642981529236,0.9002394080162048,361.61876678466797,25.767205953598022,0.8840831518173218,351.9723892211914,26.685046672821045,0.7204686999320984,383.9447021484375,27.393645524978638,0.9206717610359192,349.3225860595703,31.67175841331482,0.0010000000474974513,407.6287841796875,76.21026039123535,0.9372231364250183,344.44568634033203,81.65065383911133,0.9321836233139038,412.1748352050781,139.692214012146,0.9458510279655457,331.19190216064453,138.23314380645752,1.014646053314209,362.84725189208984,162.80588722229004,0.9378843307495117,304.9448585510254,157.88518905639648,0.9136208891868591,382.08972930908203,176.58981323242188,0.906755805015564,343.40587615966797,171.08859634399414,0.9414618611335754,320.44830322265625,197.17373275756836,0.8019673228263855,263.5421943664551,190.31163597106934,0.8318693041801453,313.13159942626953,314.34204483032227,0.821793794631958,271.3487434387207,306.4573001861572,0.8382359743118286
6,354.7349166870117,33.94863271713257,0.8933430910110474,361.4999771118164,25.935299158096313,0.8729430437088013,351.93103790283203,26.79417061805725,0.7170307636260986,383.7211227416992,27.39525055885315,0.9073740243911743,349.19334411621094,31.764378309249878,0.0010000000474974513,407.6274108886719,76.25643920898438,0.9370152354240417,344.3574523925781,81.67711591720581,0.9325831532478333,412.098388671875,139.66399478912354,0.9448888897895813,330.9377670288086,138.07553577423096,1.0154106616973877,362.4161911010742,161.7314691543579,0.9367657899856567,305.0172996520996,157.9495792388916,0.9135248064994812,381.52889251708984,176.5168628692627,0.9083382487297058,342.93689727783203,170.91704654693604,0.941425621509552,319.8248291015625,196.9522590637207,0.7959430813789368,265.0836181640625,190.6757583618164,0.8367515802383423,313.3414649963379,314.29731369018555,0.8288244009017944,269.5304489135742,306.5031223297119,0.8346322178840637
7,354.72625732421875,34.29795837402344,0.8826887607574463,361.5810775756836,26.215020895004272,0.8659583330154419,351.82823181152344,27.105093479156494,0.7094626426696777,383.8166046142578,27.506354570388794,0.909136950969696,349.18033599853516,31.91035509109497,0.0010000000474974513,407.57152557373047,76.26228761672974,0.9387335181236267,344.36656951904297,81.81136178970337,0.935285747051239,411.87328338623047,139.72719955444336,0.9474372863769531,331.1915588378906,138.12613105773926,1.0139148235321045,362.1527862548828,161.832670211792,0.9355265498161316,305.11470794677734,158.1128625869751,0.9123671054840088,381.649169921875,176.95238304138184,0.9098131060600281,343.1366729736328,171.36620426177979,0.9424768090248108,319.7376251220703,196.91673851013184,0.7983846068382263,265.08100509643555,190.82627487182617,0.8356972336769104,313.7990951538086,314.1846466064453,0.8260583281517029,268.77553939819336,307.40651512145996,0.8307963609695435
8,354.6444320678711,34.36822581291199,0.8834614157676697,361.5504837036133,26.33492112159729,0.8686771392822266,351.81583404541016,27.15800976753235,0.7064430117607117,383.8747787475586,27.686141967773438,0.9192987084388733,349.19979095458984,31.989510536193848,0.0010000000474974513,407.4953079223633,76.28866577148438,0.9385172128677368,344.2870330810547,81.80622148513794,0.9329023957252502,412.1579360961914,139.70545291900635,0.9469630718231201,330.97869873046875,137.9486436843872,1.0157499313354492,362.69290924072266,162.81404876708984,0.932725191116333,306.41523361206055,158.41945552825928,0.9215783476829529,381.53709411621094,176.82116889953613,0.9089687466621399,343.0604553222656,171.3204870223999,0.9415742754936218,320.10475158691406,196.87202835083008,0.7941619753837585,265.1012992858887,190.7389316558838,0.83428555727005,313.1460952758789,314.38367080688477,0.819645881652832,266.27370834350586,307.08978843688965,0.836148202419281
9,354.6636962890625,34.40142798423767,0.8832210302352905,361.5571975708008,26.315338134765625,0.8698498010635376,352.0169448852539,27.268712520599365,0.7292136549949646,383.9984130859375,27.59803032875061,0.9187557697296143,349.1037368774414,32.034228563308716,0.0010000000474974513,407.4922561645508,76.40812015533447,0.938512921333313,344.13997650146484,81.9029746055603,0.9379302263259888,412.20054626464844,139.64969635009766,0.9465017914772034,331.12220764160156,138.1783208847046,1.0168465375900269,362.18029022216797,161.7759485244751,0.9344834089279175,305.2726936340332,158.299298286438,0.9116758704185486,381.54796600341797,176.88839149475098,0.9075661301612854,343.0158233642578,171.41655826568604,0.9426120519638062,320.23616790771484,197.15008735656738,0.7910462021827698,265.01073837280273,190.58849906921387,0.840609073638916,313.6468315124512,315.65624237060547,0.8189324736595154,263.9521789550781,307.8219985961914,0.8402464985847473
10,354.60826873779297,34.51310110092163,0.8801462054252625,361.57337188720703,26.451178550720215,0.8652253746986389,351.95037841796875,27.331778287887573,0.7291329503059387,384.0611267089844,27.71823215484619,0.9190455675125122,349.16271209716797,32.118807554244995,0.0010000000474974513,407.5151062011719,76.36672496795654,0.9398210644721985,344.3933868408203,82.02001619338989,0.938035786151886,412.01229095458984,139.70501232147217,0.9483338594436646,331.0272216796875,138.1535005569458,1.0158727169036865,362.0487976074219,161.84102058410645,0.9335663914680481,306.2331008911133,158.61107349395752,0.9129981994628906,381.52557373046875,177.02634048461914,0.908286452293396,343.0810546875,171.57672595977783,0.9428459405899048,320.36346435546875,197.2966594696045,0.7883202433586121,264.75725173950195,190.36496925354004,0.8416469693183899,313.24764251708984,317.0642032623291,0.8164202570915222,261.35986328125,309.0794429779053,0.8398553133010864
